occasion_text,outfit,gender
gym male,Smart green blazer with grey chinos,male
rainy day male,Traditional black kurta with peach pyjama,male
gym female,Chic navy jumpsuit with black belt,female
travel unisex,Comfy blue sweater with navy trousers,unisex
travel male,Smart peach blazer with red chinos,male
office male,Formal brown suit with grey tie,male
travel male,Traditional maroon kurta with blue pyjama,male
casual meetup male,Formal brown suit with peach tie,male
date night female,Traditional navy saree with green blouse,female
beach male,Formal red suit with white tie,male
casual meetup male,Casual maroon shirt with grey trousers,male
night out male,Traditional grey kurta with navy pyjama,male
casual meetup female,Traditional grey saree with black blouse,female
party female,Traditional navy saree with black blouse,female
rainy day female,Elegant black dress with brown scarf,female
travel unisex,Classic maroon shirt with white denim,unisex
wedding female,Traditional maroon saree with white blouse,female
beach male,Traditional blue kurta with brown pyjama,male
gym female,Traditional grey saree with white blouse,female
date night unisex,Trendy white t-shirt with navy joggers,unisex
night out female,Formal green blouse with blue skirt,female
travel female,Casual grey top with brown jeans,female
gym unisex,Trendy maroon t-shirt with peach joggers,unisex
office female,Formal white blouse with maroon skirt,female
night out male,Smart red blazer with maroon chinos,male
travel female,Formal peach blouse with red skirt,female
wedding unisex,Stylish white hoodie with navy jeans,unisex
gym male,Formal blue suit with navy tie,male
date night male,Smart maroon blazer with grey chinos,male
office male,Sporty peach t-shirt with green shorts,male
night out unisex,Comfy peach sweater with white trousers,unisex
travel unisex,Trendy brown t-shirt with black joggers,unisex
night out female,Traditional grey saree with white blouse,female
beach unisex,Comfy green sweater with brown trousers,unisex
party male,Smart grey blazer with peach chinos,male
travel female,Formal black blouse with grey skirt,female
night out female,Traditional black saree with red blouse,female
date night unisex,Modern white jacket with brown pants,unisex
gym unisex,Modern maroon jacket with brown pants,unisex
casual meetup male,Formal maroon suit with black tie,male
office female,Elegant maroon dress with brown scarf,female
party female,Elegant brown dress with blue scarf,female
rainy day female,Formal grey blouse with green skirt,female
travel female,Formal white blouse with maroon skirt,female
night out male,Traditional red kurta with white pyjama,male
date night unisex,Trendy green t-shirt with peach joggers,unisex
office male,Smart blue blazer with navy chinos,male
night out unisex,Stylish white hoodie with grey jeans,unisex
office unisex,Trendy white t-shirt with red joggers,unisex
casual meetup unisex,Classic peach shirt with red denim,unisex
date night male,Formal brown suit with white tie,male
night out male,Traditional blue kurta with black pyjama,male
office male,Formal navy suit with peach tie,male
night out female,Traditional grey saree with white blouse,female
party female,Elegant black dress with brown scarf,female
gym female,Elegant white dress with grey scarf,female
party male,Formal peach suit with grey tie,male
night out unisex,Modern navy jacket with red pants,unisex
beach male,Casual white shirt with red trousers,male
travel male,Traditional grey kurta with green pyjama,male
travel male,Casual white shirt with peach trousers,male
wedding male,Smart navy blazer with maroon chinos,male
casual meetup female,Chic white jumpsuit with green belt,female
beach male,Traditional brown kurta with peach pyjama,male
gym female,Elegant green dress with navy scarf,female
rainy day male,Sporty maroon t-shirt with brown shorts,male
gym male,Smart maroon blazer with navy chinos,male
casual meetup female,Formal brown blouse with green skirt,female
office female,Casual black top with navy jeans,female
office unisex,Trendy black t-shirt with grey joggers,unisex
rainy day female,Elegant peach dress with red scarf,female
wedding female,Traditional green saree with red blouse,female
gym unisex,Comfy grey sweater with navy trousers,unisex
travel male,Formal black suit with brown tie,male
wedding unisex,Stylish grey hoodie with brown jeans,unisex
rainy day female,Formal navy blouse with blue skirt,female
night out unisex,Stylish red hoodie with grey jeans,unisex
travel female,Casual black top with white jeans,female
travel female,Formal grey blouse with green skirt,female
wedding unisex,Classic maroon shirt with brown denim,unisex
rainy day unisex,Comfy black sweater with blue trousers,unisex
office unisex,Classic navy shirt with white denim,unisex
gym female,Formal maroon blouse with grey skirt,female
casual meetup unisex,Trendy grey t-shirt with green joggers,unisex
office male,Smart peach blazer with white chinos,male
beach unisex,Modern navy jacket with blue pants,unisex
party male,Casual blue shirt with red trousers,male
wedding unisex,Classic maroon shirt with black denim,unisex
beach unisex,Trendy brown t-shirt with blue joggers,unisex
rainy day female,Elegant blue dress with maroon scarf,female
casual meetup unisex,Stylish green hoodie with navy jeans,unisex
travel unisex,Modern brown jacket with green pants,unisex
office male,Casual red shirt with navy trousers,male
date night unisex,Trendy green t-shirt with white joggers,unisex
party female,Elegant blue dress with red scarf,female
wedding male,Casual black shirt with white trousers,male
office unisex,Modern black jacket with maroon pants,unisex
wedding female,Casual peach top with black jeans,female
date night male,Formal maroon suit with brown tie,male
wedding female,Elegant navy dress with peach scarf,female
rainy day male,Traditional navy kurta with green pyjama,male
rainy day female,Chic red jumpsuit with navy belt,female
date night unisex,Comfy black sweater with green trousers,unisex
party unisex,Comfy grey sweater with blue trousers,unisex
beach male,Traditional maroon kurta with red pyjama,male
night out male,Formal blue suit with maroon tie,male
date night female,Elegant red dress with navy scarf,female
travel male,Casual red shirt with white trousers,male
rainy day male,Formal navy suit with grey tie,male
date night male,Formal maroon suit with brown tie,male
date night male,Traditional green kurta with brown pyjama,male
travel female,Formal green blouse with blue skirt,female
night out male,Sporty red t-shirt with peach shorts,male
rainy day male,Casual navy shirt with brown trousers,male
wedding female,Formal red blouse with maroon skirt,female
travel male,Casual black shirt with red trousers,male
date night female,Chic red jumpsuit with grey belt,female
casual meetup female,Traditional peach saree with brown blouse,female
beach female,Chic navy jumpsuit with grey belt,female
beach unisex,Comfy navy sweater with green trousers,unisex
wedding male,Formal grey suit with white tie,male
party unisex,Classic peach shirt with red denim,unisex
casual meetup female,Formal white blouse with blue skirt,female
gym male,Smart white blazer with peach chinos,male
date night male,Smart black blazer with red chinos,male
wedding female,Casual green top with blue jeans,female
office unisex,Classic blue shirt with brown denim,unisex
gym male,Traditional maroon kurta with white pyjama,male
casual meetup female,Chic white jumpsuit with peach belt,female
date night male,Formal brown suit with blue tie,male
casual meetup male,Traditional black kurta with green pyjama,male
party unisex,Classic maroon shirt with peach denim,unisex
night out unisex,Stylish red hoodie with brown jeans,unisex
casual meetup female,Formal white blouse with red skirt,female
office male,Casual peach shirt with red trousers,male
casual meetup unisex,Trendy peach t-shirt with grey joggers,unisex
beach unisex,Trendy navy t-shirt with black joggers,unisex
rainy day male,Smart grey blazer with blue chinos,male
night out male,Formal brown suit with grey tie,male
wedding unisex,Stylish white hoodie with green jeans,unisex
travel female,Casual black top with brown jeans,female
rainy day male,Smart peach blazer with navy chinos,male
casual meetup unisex,Stylish black hoodie with blue jeans,unisex
night out female,Elegant grey dress with peach scarf,female
